Label (Grouping),ZCTA5 90026!!Estimate,ZCTA5 90026!!Margin of Error,ZCTA5 90026!!Percent,ZCTA5 90026!!Percent Margin of Error
HOUSING OCCUPANCY,,,,
    Total housing units,"27,132",±382,"27,132",(X)
    Occupied housing units,"25,276",±458,93.20%,±1.1
    Vacant housing units,"1,856",±302,6.80%,±1.1
    Homeowner vacancy rate,1.6,±1.2,(X),(X)
    Rental vacancy rate,2.2,±0.7,(X),(X)
UNITS IN STRUCTURE,,,,
    Total housing units,"27,132",±382,"27,132",(X)
"    1-unit, detached","8,239",±532,30.40%,±1.9
"    1-unit, attached","2,188",±292,8.10%,±1.1
    2 units,"2,358",±348,8.70%,±1.3
    3 or 4 units,"3,362",±409,12.40%,±1.5
    5 to 9 units,"3,384",±376,12.50%,±1.4
    10 to 19 units,"3,191",±345,11.80%,±1.3
    20 or more units,"4,351",±425,16.00%,±1.5
    Mobile home,59,±56,0.20%,±0.2
"    Boat, RV, van, etc.",0,±95,0.00%,±0.1
YEAR STRUCTURE BUILT,,,,
    Total housing units,"27,132",±382,"27,132",(X)
    Built 2005 or later,654,±170,2.40%,±0.6
    Built 2000 to 2004,473,±128,1.70%,±0.5
    Built 1990 to 1999,"1,160",±213,4.30%,±0.8
    Built 1980 to 1989,"1,883",±310,6.90%,±1.2
    Built 1970 to 1979,"1,937",±283,7.10%,±1.0
    Built 1960 to 1969,"2,218",±307,8.20%,±1.1
    Built 1950 to 1959,"2,704",±318,10.00%,±1.2
    Built 1940 to 1949,"2,748",±452,10.10%,±1.6
    Built 1939 or earlier,"13,355",±547,49.20%,±1.9
ROOMS,,,,
    Total housing units,"27,132",±382,"27,132",(X)
    1 room,"2,853",±397,10.50%,±1.4
    2 rooms,"2,068",±318,7.60%,±1.2
    3 rooms,"5,960",±463,22.00%,±1.7
    4 rooms,"6,984",±523,25.70%,±1.9
    5 rooms,"4,620",±409,17.00%,±1.5
    6 rooms,"2,203",±298,8.10%,±1.1
    7 rooms,"1,232",±261,4.50%,±1.0
    8 rooms,625,±178,2.30%,±0.7
    9 rooms or more,587,±178,2.20%,±0.7
    Median rooms,3.9,±0.1,(X),(X)
BEDROOMS,,,,
    Total housing units,"27,132",±382,"27,132",(X)
    No bedroom,"3,366",±442,12.40%,±1.6
    1 bedroom,"8,939",±539,32.90%,±2.0
    2 bedrooms,"9,056",±602,33.40%,±2.1
    3 bedrooms,"4,254",±357,15.70%,±1.3
    4 bedrooms,"1,170",±260,4.30%,±1.0
    5 or more bedrooms,347,±101,1.30%,±0.4
HOUSING TENURE,,,,
    Occupied housing units,"25,276",±458,"25,276",(X)
    Owner-occupied,"5,686",±415,22.50%,±1.6
    Renter-occupied,"19,590",±535,77.50%,±1.6
    Average household size of owner-occupied unit,2.75,±0.12,(X),(X)
    Average household size of renter-occupied unit,2.73,±0.07,(X),(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
    Occupied housing units,"25,276",±458,"25,276",(X)
    Moved in 2005 or later,"10,101",±580,40.00%,±2.1
    Moved in 2000 to 2004,"5,442",±511,21.50%,±2.0
