State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
California,"39,538,223","13,714,587",34.70%,"2,119,286",5.40%,"156,085",0.40%,"5,978,795",15.10%,"138,167",0.30%,"223,929",0.60%,"1,627,722",4.10%,"15,579,652",0.39,0.35,40,6,,
,,,,,,,,,,,,,,,,,,,,,,
Alameda County,"1,682,353","472,277",28.10%,"159,499",9.50%,"4,131",0.20%,"540,511",32.10%,"13,209",0.80%,"10,440",0.60%,"88,537",5.30%,"393,749",0.23,0.28,50,6,1,
Census Tract 4001,"3,038","1,840",60.60%,140,4.60%,0,0.00%,538,17.70%,10,0.30%,49,1.60%,256,8.40%,205,0.07,0.61,140,6,1,400100
Census Tract 4002,"2,001","1,383",69.10%,39,1.90%,0,0.00%,190,9.50%,2,0.10%,14,0.70%,166,8.30%,207,0.1,0.69,140,6,1,400200
Census Tract 4003,"5,504","3,293",59.80%,544,9.90%,11,0.20%,540,9.80%,23,0.40%,37,0.70%,509,9.20%,547,0.1,0.6,140,6,1,400300
Census Tract 4004,"4,112","2,676",65.10%,283,6.90%,6,0.10%,386,9.40%,8,0.20%,29,0.70%,350,8.50%,374,0.09,0.65,140,6,1,400400
Census Tract 4005,"3,644","1,898",52.10%,617,16.90%,8,0.20%,304,8.30%,5,0.10%,38,1.00%,337,9.20%,437,0.12,0.52,140,6,1,400500
Census Tract 4006,"1,788",809,45.20%,428,23.90%,5,0.30%,125,7.00%,1,0.10%,42,2.30%,190,10.60%,188,0.11,0.45,140,6,1,400600
Census Tract 4007,"4,508","1,842",40.90%,"1,198",26.60%,10,0.20%,406,9.00%,9,0.20%,52,1.20%,358,7.90%,633,0.14,0.41,140,6,1,400700
Census Tract 4008,"3,917","1,531",39.10%,970,24.80%,8,0.20%,574,14.70%,17,0.40%,40,1.00%,277,7.10%,500,0.13,0.39,140,6,1,400800
Census Tract 4009,"2,514","1,023",40.70%,619,24.60%,4,0.20%,243,9.70%,3,0.10%,24,1.00%,224,8.90%,374,0.15,0.41,140,6,1,400900
Census Tract 4010,"6,097","2,188",35.90%,"1,829",30.00%,13,0.20%,566,9.30%,32,0.50%,49,0.80%,443,7.30%,977,0.16,0.36,140,6,1,401000
Census Tract 4011,"4,966","2,257",45.40%,921,18.50%,35,0.70%,634,12.80%,20,0.40%,43,0.90%,355,7.10%,701,0.14,0.45,140,6,1,401100
Census Tract 4012,"2,989","1,654",55.30%,288,9.60%,5,0.20%,357,11.90%,16,0.50%,16,0.50%,265,8.90%,388,0.13,0.55,140,6,1,401200
Census Tract 4013,"5,887","1,945",33.00%,"1,215",20.60%,55,0.90%,"1,029",17.50%,113,1.90%,44,0.70%,365,6.20%,"1,121",0.19,0.33,140,6,1,401300
