Income,Census Tract
51641.00,101110
80489.00,101122
39433.00,101210
45687.00,101220
60612.00,101300
72188.00,101400
74868.00,102103
85492.00,102104
51705.00,102105
54958.00,102107
64792.00,103101
65080.00,103102
68785.00,103200
95305.00,103300
53750.00,103400
88167.00,104103
39531.00,104105
40893.00,104108
75179.00,104124
42143.00,104201
36750.00,104203
46923.00,104204
58634.00,104310
47842.00,104320
56406.00,104401
60260.00,104403
35982.00,104404
45370.00,104500
38125.00,104610
40500.00,104620
29597.00,104701
45167.00,104703
47099.00,104704
47065.00,104810
44957.00,104821
31325.00,104822
93108.00,106010
81797.00,106020
80536.00,106111
86875.00,106112
60125.00,106113
47819.00,106114
57171.00,106403
56032.00,106405
73705.00,106406
33869.00,106407
43409.00,106408
72950.00,106510
52574.00,106520
110395.00,106603
46635.00,106604
102875.00,106641
75919.00,106642
114583.00,106643
87778.00,106645
108545.00,106646
45368.00,106648
74884.00,106649
61071.00,107010
60212.00,107020
110263.00,108101
101712.00,108102
136641.00,108103
125081.00,108104
111953.00,108201
123052.00,108202
44955.00,109100
78274.00,109200
67667.00,109300
56397.00,109400
54441.00,109500
73176.00,109601
61028.00,109603
77381.00,109604
67896.00,109700
73636.00,109800
62344.00,111100
70142.00,111201
80313.00,111202
127102.00,111204
62083.00,111205
100809.00,111206
49355.00,111301
61006.00,111302
49968.00,111400
84375.00,113101
122594.00,113102
77931.00,113211
85846.00,113212
85582.00,113213
73929.00,113231
71522.00,113232
42317.00,113233
40444.00,113234
73393.00,113235
91761.00,113237
120750.00,113301
73958.00,113303
56643.00,113321
89063.00,113322
72122.00,113401
45772.00,113421
58042.00,113422
117500.00,115101
75000.00,115103
40712.00,115104
50406.00,115201
49632.00,115202
78860.00,115301
35000.00,115302
45865.00,115401
42583.00,115403
43381.00,115404
61034.00,117101
74712.00,117102
37953.00,117201
85340.00,117202
79453.00,117301
73697.00,117302
63256.00,117303
65583.00,117404
24848.00,117405
29547.00,117407
35775.00,117408
35952.00,117510
32250.00,117520
40872.00,117530
71000.00,119001
54741.00,119002
51620.00,119201
47146.00,119202
60063.00,119310
43397.00,119320
34727.00,119340
45202.00,119341
44278.00,119342
72434.00,119400
56458.00,119700
53602.00,119800
67083.00,119900
53311.00,120010
29716.00,120020
38915.00,120030
36802.00,120103
34134.00,120104
33191.00,120105
31624.00,120106
30815.00,120107
39054.00,120108
66895.00,120300
42813.00,120400
62113.00,121010
45781.00,121020
