Income,Census Tract
"74,625",101110
"93,125",101122
"55,682",101220
"46,274",101221
"30,016",101222
"87,066",101300
"66,210",101400
"59,005",102103
"98,973",102104
"82,438",102105
"83,200",102107
"109,000",103101
"71,038",103102
"73,844",103201
"106,125",103202
"113,568",103300
"109,271",103401
"112,306",103402
"102,128",104103
"50,483",104105
"51,207",104108
"71,000",104124
"71,447",104201
"45,972",104203
"59,844",104204
"90,893",104310
"31,645",104321
"66,083",104322
"59,464",104401
"68,929",104403
"53,594",104404
"65,956",104500
"57,188",104610
"68,750",104620
"42,542",104701
"42,589",104703
"44,647",104704
"70,655",104821
"53,542",104822
"90,852",104823
"73,365",104824
"96,964",106010
"85,800",106020
"107,277",106111
"96,688",106112
"99,952",106113
"65,970",106114
"82,875",106403
"64,490",106405
"89,059",106406
"33,125",106407
"54,038",106408
"85,032",106510
"71,435",106520
"130,806",106603
"56,794",106604
"111,000",106641
"112,273",106642
"176,429",106643
"114,295",106645
"111,758",106646
"72,165",106648
"94,471",106649
"71,546",107010
"80,739",107020
"141,250",108101
"109,091",108102
"130,585",108103
"150,125",108104
"135,603",108202
"128,646",108203
"125,536",108204
"70,000",109100
"111,293",109200
"96,339",109300
"83,986",109400
"53,594",109500
"95,820",109601
"65,060",109603
"91,776",109604
"103,153",109700
"87,750",109800
"107,386",111100
"102,266",111201
"115,799",111202
"150,732",111204
"67,482",111205
"122,014",111206
"62,289",111302
"98,617",111303
"57,581",111304
"124,946",111401
"47,967",111402
"108,587",113101
"154,514",113102
"93,571",113211
"94,464",113212
"112,222",113213
"113,929",113231
"126,424",113232
"61,580",113234
"105,333",113235
"116,696",113237
"57,523",113238
"44,698",113239
"84,975",113301
"88,567",113303
"96,387",113322
"77,596",113323
"86,347",113324
"96,108",113423
"89,661",113424
"55,791",113425
"62,443",113426
"55,811",113427
"107,522",113428
"130,511",115101
-,115103
"54,814",115104
"64,429",115202
"69,609",115203
"83,176",115204
"99,938",115301
"52,679",115302
"61,875",115401
"58,013",115403
"69,688",115404
"87,014",117101
"65,833",117102
"50,972",117201
"93,214",117202
"116,333",117301
"104,554",117302
"101,146",117303
"109,242",117404
"40,202",117405
"39,397",117407
"40,718",117408
"45,332",117510
"42,738",117520
"49,886",117530
"90,238",119001
"94,219",119003
"84,028",119004
"91,597",119201
"75,305",119202
