Summary Level,State code,County Code,Place code,Place Type,Census Tract ,Description of area,Total Population,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino","Total Population: Black or African American alone, not Hispanic or Latino","Total Population: American Indian and Alaska Native alone, not Hispanic or Latino","Total Population: Asian alone, not Hispanic or Latino","Total Population: Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Total Population: Some Other Race alone, not Hispanic or Latino","Total Population: Two or More Races, not Hispanic or Latino",Total Housing Units,Occupied Housing Units,Vacant Housing Units
040,06,,,,,California,37253956,14013719,14956253,2163804,162250,4775070,128577,85587,968696,13680081,12577498,1102583
050,06,001,,,,Alameda County,1510271,339889,514559,184126,4189,390524,11931,4191,60862,582549,545138,37411
140,06,001,,,400100,Census Tract 4001,2937,117,2078,140,2,456,8,25,111,1396,1314,82
140,06,001,,,400200,Census Tract 4002,1974,151,1546,31,2,146,0,3,95,915,856,59
140,06,001,,,400300,Census Tract 4003,4865,399,3256,512,8,419,5,20,246,2591,2418,173
140,06,001,,,400400,Census Tract 4004,3703,332,2424,448,5,270,6,21,197,1903,1779,124
140,06,001,,,400500,Census Tract 4005,3517,340,1778,933,16,208,4,23,215,1684,1578,106
140,06,001,,,400600,Census Tract 4006,1571,126,671,615,4,80,0,7,68,757,690,67
140,06,001,,,400700,Census Tract 4007,4206,439,1239,2068,14,249,16,24,157,1929,1755,174
140,06,001,,,400800,Census Tract 4008,3594,367,1135,1463,15,429,7,7,171,1733,1567,166
140,06,001,,,400900,Census Tract 4009,2302,307,713,1005,6,128,5,6,132,1153,1019,134
140,06,001,,,401000,Census Tract 4010,5678,806,1269,2848,20,418,11,22,284,2658,2354,304
140,06,001,,,401100,Census Tract 4011,4156,522,1933,975,19,439,8,23,237,2147,2007,140
140,06,001,,,401200,Census Tract 4012,2416,226,1412,421,4,225,3,11,114,1296,1216,80
140,06,001,,,401300,Census Tract 4013,3528,488,932,1255,12,671,13,9,148,1839,1632,207
140,06,001,,,401400,Census Tract 4014,4314,911,654,2090,28,427,5,32,167,1764,1396,368
140,06,001,,,401500,Census Tract 4015,2630,406,526,1392,3,183,17,8,95,1244,940,304
140,06,001,,,401600,Census Tract 4016,2163,449,351,1005,15,257,2,3,81,919,765,154
140,06,001,,,401700,Census Tract 4017,2667,683,691,884,11,265,9,3,121,1310,1033,277
140,06,001,,,401800,Census Tract 4018,1703,329,256,977,5,51,6,3,76,800,637,163
140,06,001,,,402200,Census Tract 4022,2385,720,388,868,8,271,2,6,122,988,849,139
140,06,001,,,402400,Census Tract 4024,2351,220,297,1358,12,328,6,10,120,1168,1028,140
140,06,001,,,402500,Census Tract 4025,1784,81,145,1191,8,295,0,0,64,747,673,74
140,06,001,,,402600,Census Tract 4026,1151,66,130,340,3,580,4,2,26,656,618,38
140,06,001,,,402700,Census Tract 4027,1569,243,199,881,2,161,0,3,80,731,604,127
140,06,001,,,402800,Census Tract 4028,3345,276,793,1378,21,705,13,1,158,2317,2025,292
140,06,001,,,402900,Census Tract 4029,1434,137,337,289,2,616,4,3,46,959,921,38
140,06,001,,,403000,Census Tract 4030,2788,36,118,123,2,2462,1,0,46,1732,1500,232
140,06,001,,,403100,Census Tract 4031,2238,321,407,679,4,753,5,4,65,751,701,50
140,06,001,,,403300,Census Tract 4033,4054,242,1030,455,9,2185,4,9,120,2236,2054,182
140,06,001,,,403400,Census Tract 4034,4146,387,1353,816,13,1344,11,22,200,3071,2713,358
140,06,001,,,403501,Census Tract 4035.01,4374,440,1370,1222,16,1037,12,25,252,2745,2547,198
140,06,001,,,403502,Census Tract 4035.02,1991,242,880,530,7,215,3,11,103,1296,1171,125
140,06,001,,,403600,Census Tract 4036,4482,436,1540,1699,10,547,5,18,227,2732,2542,190
140,06,001,,,403701,Census Tract 4037.01,2587,236,1287,544,11,356,1,13,139,1915,1686,229
140,06,001,,,403702,Census Tract 4037.02,1724,149,978,312,3,170,2,14,96,1211,1093,118
140,06,001,,,403800,Census Tract 4038,3461,290,2176,334,7,465,3,16,170,1975,1858,117
140,06,001,,,403900,Census Tract 4039,3584,323,1986,573,13,482,8,11,188,2265,2087,178
140,06,001,,,404000,Census Tract 4040,2819,304,1616,401,6,324,4,15,149,1831,1702,129
140,06,001,,,404101,Census Tract 4041.01,2929,274,1980,181,3,337,5,15,134,1819,1644,175
140,06,001,,,404102,Census Tract 4041.02,2283,149,1542,182,5,301,4,13,87,1706,1544,162
140,06,001,,,404200,Census Tract 4042,3483,187,2539,171,11,404,2,8,161,1420,1367,53
140,06,001,,,404300,Census Tract 4043,3218,170,2372,141,4,374,0,15,142,1395,1337,58
140,06,001,,,404400,Census Tract 4044,5314,355,3590,253,6,818,7,28,257,2391,2279,112
140,06,001,,,404501,Census Tract 4045.01,1677,97,1211,72,1,195,1,4,96,710,688,22
140,06,001,,,404502,Census Tract 4045.02,5784,347,4172,363,16,547,6,27,306,2548,2443,105
140,06,001,,,404600,Census Tract 4046,4353,239,3178,261,3,444,6,14,208,1867,1800,67
140,06,001,,,404700,Census Tract 4047,1954,117,1395,156,6,184,0,13,83,825,810,15
140,06,001,,,404800,Census Tract 4048,2684,308,1221,530,16,451,10,7,141,1288,1216,72
140,06,001,,,404900,Census Tract 4049,4129,399,2228,462,2,820,4,15,199,2056,1885,171
140,06,001,,,405000,Census Tract 4050,3136,229,2057,302,6,376,1,10,155,1606,1458,148
140,06,001,,,405100,Census Tract 4051,4197,226,2856,497,4,384,7,22,201,1627,1579,48
140,06,001,,,405200,Census Tract 4052,4597,434,1745,699,8,1420,16,27,248,2597,2398,199
140,06,001,,,405301,Census Tract 4053.01,2603,369,1076,605,13,382,4,13,141,1656,1477,179
140,06,001,,,405302,Census Tract 4053.02,2530,370,592,488,10,957,4,12,97,1561,1406,155
140,06,001,,,405401,Census Tract 4054.01,3957,829,459,763,14,1741,13,11,127,1748,1570,178
140,06,001,,,405402,Census Tract 4054.02,3114,615,274,718,4,1424,3,6,70,1251,1098,153
140,06,001,,,405500,Census Tract 4055,3643,449,574,737,12,1710,9,24,128,1642,1485,157
140,06,001,,,405600,Census Tract 4056,3137,410,653,710,10,1205,3,15,131,1511,1353,158
140,06,001,,,405700,Census Tract 4057,3243,559,348,1047,12,1158,9,9,101,1439,1279,160
140,06,001,,,405800,Census Tract 4058,3965,729,244,768,14,2096,20,10,84,1382,1223,159
140,06,001,,,405901,Census Tract 4059.01,3910,1564,115,531,21,1545,46,13,75,1192,1064,128
140,06,001,,,405902,Census Tract 4059.02,3035,704,175,430,6,1626,3,12,79,1001,891,110
140,06,001,,,406000,Census Tract 4060,3450,734,575,419,10,1615,1,15,81,1669,1519,150
140,06,001,,,406100,Census Tract 4061,4381,2529,714,460,30,538,13,10,87,1620,1462,158
140,06,001,,,406201,Census Tract 4062.01,4649,2285,142,720,12,1402,27,4,57,1520,1300,220
140,06,001,,,406202,Census Tract 4062.02,4718,3092,263,561,48,663,17,14,60,1406,1294,112
140,06,001,,,406300,Census Tract 4063,4113,1574,253,749,5,1395,31,10,96,1323,1211,112
140,06,001,,,406400,Census Tract 4064,2145,372,528,589,11,566,15,4,60,789,710,79
140,06,001,,,406500,Census Tract 4065,5930,2608,503,1167,27,1416,36,10,163,2015,1854,161
140,06,001,,,406601,Census Tract 4066.01,4596,1074,557,1228,21,1522,18,5,171,1805,1680,125
140,06,001,,,406602,Census Tract 4066.02,2493,739,276,649,23,706,1,3,96,964,881,83
140,06,001,,,406700,Census Tract 4067,5048,442,2501,685,23,1103,30,20,244,2335,2218,117
140,06,001,,,406800,Census Tract 4068,3428,380,1359,519,9,987,20,11,143,1451,1370,81
140,06,001,,,406900,Census Tract 4069,3719,472,1331,810,16,846,6,14,224,1561,1488,73
140,06,001,,,407000,Census Tract 4070,5885,1546,703,1488,34,1869,39,20,186,2233,2005,228
140,06,001,,,407101,Census Tract 4071.01,3414,1916,226,516,11,634,23,7,81,1096,1002,94
140,06,001,,,407102,Census Tract 4071.02,4351,2096,374,910,26,857,12,16,60,1375,1263,112
140,06,001,,,407200,Census Tract 4072,6746,5044,432,452,42,701,7,18,50,2008,1851,157
140,06,001,,,407300,Census Tract 4073,2598,1639,342,329,3,221,17,1,46,811,738,73
140,06,001,,,407400,Census Tract 4074,3954,2566,133,786,11,374,16,3,65,1186,1081,105
140,06,001,,,407500,Census Tract 4075,3931,1945,132,1466,7,241,59,13,68,1386,1196,190
140,06,001,,,407600,Census Tract 4076,6027,2097,689,2129,36,683,153,12,228,2251,2022,229
140,06,001,,,407700,Census Tract 4077,4109,558,925,2094,8,308,25,7,184,1826,1714,112
140,06,001,,,407800,Census Tract 4078,2425,424,817,789,9,228,22,14,122,783,715,68
140,06,001,,,407900,Census Tract 4079,2706,354,1062,614,7,477,5,6,181,1198,1105,93
140,06,001,,,408000,Census Tract 4080,2671,257,1383,341,8,513,16,13,140,1058,996,62
140,06,001,,,408100,Census Tract 4081,5991,464,2164,1827,7,1199,9,17,304,2714,2543,171
140,06,001,,,408200,Census Tract 4082,4054,817,687,2144,9,181,34,7,175,1819,1638,181
140,06,001,,,408300,Census Tract 4083,4167,676,1000,1875,15,338,26,15,222,1826,1653,173
140,06,001,,,408400,Census Tract 4084,3323,1258,99,1702,15,98,75,8,68,1275,1080,195
140,06,001,,,408500,Census Tract 4085,4972,2263,101,2265,11,103,109,8,112,1666,1476,190
140,06,001,,,408600,Census Tract 4086,5492,2476,127,2476,11,231,47,7,117,1897,1702,195
140,06,001,,,408700,Census Tract 4087,7207,3236,283,3142,9,323,67,9,138,2512,2259,253
140,06,001,,,408800,Census Tract 4088,5547,2548,115,2295,11,405,25,7,141,1937,1691,246
140,06,001,,,408900,Census Tract 4089,3414,2029,69,1090,12,86,57,6,65,1074,960,114
140,06,001,,,409000,Census Tract 4090,3552,1733,61,1539,4,123,28,3,61,1071,984,87
140,06,001,,,409100,Census Tract 4091,2255,1169,36,924,3,52,31,5,35,664,601,63
140,06,001,,,409200,Census Tract 4092,3152,1559,54,1263,14,139,63,8,52,972,838,134
140,06,001,,,409300,Census Tract 4093,5229,3143,146,1644,13,146,39,13,85,1614,1463,151
140,06,001,,,409400,Census Tract 4094,4306,2891,98,1006,4,210,37,3,57,1260,1094,166
140,06,001,,,409500,Census Tract 4095,3122,2117,72,761,11,53,59,4,45,1007,802,205
140,06,001,,,409600,Census Tract 4096,5063,2977,94,1679,7,131,74,4,97,1561,1402,159
140,06,001,,,409700,Census Tract 4097,4696,1830,126,2305,16,191,118,6,104,1697,1437,260
140,06,001,,,409800,Census Tract 4098,2887,368,393,1884,3,120,13,3,103,1289,1121,168
140,06,001,,,409900,Census Tract 4099,3308,268,885,1756,6,243,9,13,128,1415,1373,42
140,06,001,,,410000,Census Tract 4100,2805,268,869,1369,2,174,4,5,114,1179,1137,42
140,06,001,,,410100,Census Tract 4101,2406,427,233,1482,14,139,17,3,91,1003,899,104
140,06,001,,,410200,Census Tract 4102,3062,1038,134,1642,3,150,25,4,66,1179,1027,152
140,06,001,,,410300,Census Tract 4103,3536,2186,68,993,15,117,93,7,57,1044,892,152
140,06,001,,,410400,Census Tract 4104,3792,1644,169,1540,4,317,12,10,96,1352,1235,117
140,06,001,,,410500,Census Tract 4105,2193,200,156,1360,1,370,4,12,90,948,848,100
140,06,001,,,420100,Census Tract 4201,2355,205,1444,53,0,505,3,14,131,926,888,38
140,06,001,,,420200,Census Tract 4202,2898,330,1332,90,6,932,5,22,181,1307,1217,90
140,06,001,,,420300,Census Tract 4203,4571,422,2005,175,6,1699,6,27,231,2140,1987,153
140,06,001,,,420400,Census Tract 4204,3124,424,870,118,27,1513,16,20,136,1185,1094,91
140,06,001,,,420500,Census Tract 4205,2308,259,1203,96,2,625,2,12,109,995,932,63
140,06,001,,,420600,Census Tract 4206,3283,251,2282,89,3,480,0,10,168,1336,1283,53
140,06,001,,,421100,Census Tract 4211,1992,100,1524,36,0,234,6,11,81,886,842,44
140,06,001,,,421200,Census Tract 4212,3563,191,2840,72,1,296,5,15,143,1547,1464,83
140,06,001,,,421300,Census Tract 4213,3844,202,3004,67,5,365,3,15,183,1750,1672,78
140,06,001,,,421400,Census Tract 4214,1593,62,1311,28,2,126,0,2,62,695,663,32
140,06,001,,,421500,Census Tract 4215,3640,188,2908,59,3,317,0,13,152,1647,1555,92
140,06,001,,,421600,Census Tract 4216,3558,188,2745,57,3,367,5,27,166,1707,1589,118
140,06,001,,,421700,Census Tract 4217,3198,233,2170,90,11,515,2,23,154,1679,1574,105
140,06,001,,,421800,Census Tract 4218,2007,100,1528,54,6,218,0,4,97,931,886,45
140,06,001,,,421900,Census Tract 4219,3632,331,2291,292,5,500,2,21,190,1792,1689,103
140,06,001,,,422000,Census Tract 4220,1756,222,761,491,3,170,5,12,92,729,667,62
140,06,001,,,422100,Census Tract 4221,2685,761,990,424,10,333,4,21,142,1255,1114,141
140,06,001,,,422200,Census Tract 4222,3144,358,1729,394,4,480,13,13,153,1629,1527,102
140,06,001,,,422300,Census Tract 4223,3387,311,2062,187,2,636,3,21,165,1802,1661,141
140,06,001,,,422400,Census Tract 4224,4196,343,2117,186,4,1357,2,16,171,2378,2198,180
140,06,001,,,422500,Census Tract 4225,4658,323,2693,100,4,1281,13,10,234,1711,1575,136
140,06,001,,,422600,Census Tract 4226,1215,141,538,10,2,456,0,2,66,14,12,2
140,06,001,,,422700,Census Tract 4227,4885,499,2568,114,9,1423,5,17,250,1383,1303,80
140,06,001,,,422800,Census Tract 4228,8368,1077,2691,330,24,3727,8,20,491,1691,1561,130
140,06,001,,,422900,Census Tract 4229,4336,485,1610,374,7,1599,9,27,225,2171,2079,92
140,06,001,,,423000,Census Tract 4230,4396,447,2653,329,12,704,4,19,228,2208,2071,137
140,06,001,,,423100,Census Tract 4231,3964,641,1894,692,14,514,14,22,173,1967,1848,119
140,06,001,,,423200,Census Tract 4232,2794,887,894,620,3,241,7,7,135,1168,1077,91
