State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
California,"39,538,223","13,714,587",34.7%,"2,119,286",5.4%,"156,085",0.4%,"5,978,795",15.1%,"138,167",0.3%,"223,929",0.6%,"1,627,722",4.1%,"15,579,652",39.4%,040,06,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda County,"1,682,353","472,277",28.1%,"159,499",9.5%,"4,131",0.2%,"540,511",32.1%,"13,209",0.8%,"10,440",0.6%,"88,537",5.3%,"393,749",23.4%,050,06,001,,,,,
Census Tract 4001,"3,038","1,840",60.6%,140,4.6%,0,0.0%,538,17.7%,10,0.3%,49,1.6%,256,8.4%,205,6.7%,140,06,001,400100,,,,
Census Tract 4002,"2,001","1,383",69.1%,39,1.9%,0,0.0%,190,9.5%,2,0.1%,14,0.7%,166,8.3%,207,10.3%,140,06,001,400200,,,,
Census Tract 4003,"5,504","3,293",59.8%,544,9.9%,11,0.2%,540,9.8%,23,0.4%,37,0.7%,509,9.2%,547,9.9%,140,06,001,400300,,,,
Census Tract 4004,"4,112","2,676",65.1%,283,6.9%,6,0.1%,386,9.4%,8,0.2%,29,0.7%,350,8.5%,374,9.1%,140,06,001,400400,,,,
Census Tract 4005,"3,644","1,898",52.1%,617,16.9%,8,0.2%,304,8.3%,5,0.1%,38,1.0%,337,9.2%,437,12.0%,140,06,001,400500,,,,
Census Tract 4006,"1,788",809,45.2%,428,23.9%,5,0.3%,125,7.0%,1,0.1%,42,2.3%,190,10.6%,188,10.5%,140,06,001,400600,,,,
Census Tract 4007,"4,508","1,842",40.9%,"1,198",26.6%,10,0.2%,406,9.0%,9,0.2%,52,1.2%,358,7.9%,633,14.0%,140,06,001,400700,,,,
Census Tract 4008,"3,917","1,531",39.1%,970,24.8%,8,0.2%,574,14.7%,17,0.4%,40,1.0%,277,7.1%,500,12.8%,140,06,001,400800,,,,
Census Tract 4009,"2,514","1,023",40.7%,619,24.6%,4,0.2%,243,9.7%,3,0.1%,24,1.0%,224,8.9%,374,14.9%,140,06,001,400900,,,,
